Size,BM,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1,1,0.012294225004998839,0.00013496893137339124,0.0010854791103791241,0.02510298337751914,0.138174960209604,0.024105923227339596
1,2,0.5218436270296065,5.2126756734751506e-08,0.0004096492737157766,0.0010056013062952022,0.10162549856351497,0.003422622145352187
1,3,0.00020170483685486826,7.222534056823219e-07,0.004130044361600375,0.958662788353241,0.041484898275790535,0.2378776464538091
1,4,0.01250505355850064,4.34400383960487e-05,0.5042891672105954,0.4376031967882452,0.007390394942745404,0.12335754701669145
1,5,0.0032723739960547177,9.409879381417759e-08,9.609843442254957e-05,7.1653514972150834e-06,0.5749682269371723,0.7288020953664983
2,1,0.6744050582689205,4.1928485038684095e-07,1.2870746784981219e-05,0.4406977640520249,0.9954190621859158,0.4466667418479081
2,2,0.6666023452312282,2.8623629113371214e-06,0.00024366408176928564,0.7427204924054915,0.37355563551266735,0.693951330375749
2,3,0.00914408654081357,3.17718375159922e-05,0.02195928739238806,0.46587587221266513,0.03349280426460261,0.09799038558400716
2,4,0.2517018507926844,4.828088761789822e-05,0.23899771728413,0.47656424217991367,0.0006166474039938839,0.011984798103842117
2,5,0.02838097777489939,0.019867712228282448,0.9225631428726461,0.3727517328201274,0.8353485532290664,0.583337502570195
3,1,0.6506240491102061,5.57823739279103e-08,3.0143316809836664e-06,0.10099442426802718,0.019512950730834856,0.09257674865767453
3,2,0.31669645186742396,2.726767446840809e-06,0.005192775516285353,0.45138871150945903,0.1994200548022661,0.5279774052213375
3,3,0.311985250302919,1.494092569069206e-06,0.0026587309398904036,0.5162615739727157,0.020690378771109935,0.06380710147249878
3,4,0.3049884338970149,0.00020919469724302263,0.20516464226852774,0.4575080846109213,0.012695460553185763,0.06675197571552563
3,5,0.5108730344020813,4.813015116909362e-05,0.09726156233210571,0.22833628936204267,0.33797655486506173,0.5296251289602973
4,1,0.4878794570786835,2.7365173309510487e-08,2.3645245249037875e-06,0.8877537394099466,0.5443145851876275,0.43486935452068787
4,2,0.13407901652998724,3.5710273806938594e-07,3.077045246951536e-05,0.8451432072573705,0.6097827939451214,0.48360343466290756
4,3,0.5422061901188466,1.1855628543937084e-06,0.0023022662814957085,0.8865235769137204,0.3496571636363095,0.9665318903575881
4,4,0.46746053350168704,9.781452089896855e-05,0.138717074487277,0.3141552142124783,0.07535440380486899,0.17953438167718785
4,5,0.7945704990849115,0.0003244252942603375,0.5279927292110087,0.9149802162463303,0.8013777551623081,0.6144666479745653
5,1,0.12191983362437186,6.930430754160077e-06,0.00015783118399329165,0.5762821575528638,0.7067780557560748,0.8178687205080041
5,2,0.0788589759732306,0.0001294647831637924,0.016362791263061612,0.8413562986628147,0.08813642344940606,0.49909230072338306
5,3,0.6611109824228723,2.5729826259927617e-06,0.014686557539542794,0.6337899843871717,0.3363763462021788,0.28065243989022304
5,4,0.7571479347412466,0.00018832642034102826,0.36934424275864186,0.0119610695960734,0.0013653511850673678,0.09037651480508613
5,5,0.24494602600128929,3.4273648044111276e-10,0.007366377320546545,0.09006510206658143,0.01552722206399268,0.009924293303727127
