Size,Inv,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1,1,0.009170801617653058,0.9861261601587185,0.987123411402449,-0.5860074234976338,0.22586023101214253,0.7882634123678084,0.9605922569091782
1,2,0.004992197967725057,0.9166132214668075,1.0453243482634706,-0.0737615424462596,-0.3169918711290067,0.03861218827845764,0.9792033627078404
1,3,-0.007494183631272612,0.9961031592698365,0.5095068429211351,0.13058808836082716,-0.4778940768454469,0.04585718891172623,0.952356176249677
1,4,0.0010287011758683415,0.8617147851025415,0.31453501302520803,0.3107099635860101,-0.921323055532926,-0.16073598488052973,0.9289200588173481
1,5,-0.0081056841222043,1.2953837215697337,-0.10823371928781042,0.3670674816630169,-0.44426987620628067,0.17620921315915516,0.877505017804987
2,1,0.006133179986137365,1.0228186602094524,1.0550700441560594,-0.6654899670841152,0.44723616083470374,0.7934804748109512,0.9812358149976829
2,2,0.0016619186387937866,0.8952528408707746,0.24688266794439137,-0.23094761110006606,-0.614645219253718,0.37103876592068363,0.9369372311576492
2,3,-0.003655728580829881,0.8656215289203779,0.42924454213827196,0.1913640284581811,-0.7429341905234832,-0.1876390109219064,0.9552056892900957
2,4,-0.010433097149269896,0.8179910318423861,0.1526339530148328,0.6690691220691636,-1.3108016174283381,-0.8469309805181819,0.9128989073480874
2,5,-0.0008374704261824828,0.8238964824866276,-0.4789342081842851,-0.16760719917172165,0.2812114695994626,0.966651038393453,0.8880915246811325
3,1,0.0058352301423030785,1.0032494995646004,1.138583081918552,-0.1762970386047125,0.1340560339234887,0.05299042348044042,0.974632926770902
3,2,-0.0020659727940210574,1.0292973387350965,0.7280877119536089,-0.2781848978006918,-0.10224601430244182,0.17162836926673264,0.9541675934240853
3,3,-0.005288132919342134,0.9309498154558322,0.4966406798112178,0.024870788475965744,-0.35530406829727945,-0.19918015492267083,0.9250817977705588
3,4,-0.006315197714515982,0.8181455039219262,0.21375006561359927,0.32682708251528947,-1.19271314531705,-0.7565979315044458,0.9482718792017722
3,5,0.0004922184872715686,1.0415455470114328,-0.22773463018671133,0.1979973825729711,0.2778564266814588,0.24783075027989665,0.9529746570807714
4,1,0.007819759763586818,1.2214211927127272,0.9207460803605079,-0.6364201338512354,0.4181079287289716,0.3049781107958659,0.9463088521404771
4,2,0.0019807290615378487,1.018927578442296,0.8650736494814601,-0.29995592992681797,0.038292972555985016,0.07074681616884831,0.9703719997268381
4,3,-0.006322998661737809,0.9867350959526704,0.5479667921907918,-0.33981218251132284,-0.10188765049546661,-0.05578216166718618,0.9530718362346693
4,4,-0.0018687271841115955,0.8823523993760946,0.24177074167616763,0.16861646529029972,-0.758906040786827,-0.6539652810629524,0.9365879579138834
4,5,0.006901566858133033,0.9801982092491514,-0.39100526771588123,-0.324980458826415,0.37727245761843015,0.2241067664444007,0.8872239562843821
5,1,-0.00333455886357124,1.0972479098465204,1.2236215280671496,0.04516212540221998,-0.014142978573239443,-0.4802450010681692,0.9697113568201433
5,2,-0.004475612182034851,0.8638826536555461,0.6365902828186503,-0.1712356278486209,-0.07004601421842836,-0.41581286201322454,0.9323920664821534
5,3,-0.009787235330950817,0.7649170491825333,0.6317828754653424,0.6231143981540485,-0.8463914737378773,-1.1074161087805277,0.9230347294691271
5,4,-0.006884695621906173,0.6845284555814661,0.15393265892073005,0.16470894113078968,-1.0801952296688577,-1.0346485583932574,0.9677237903946415
5,5,0.00112297605192818,1.2238993399489568,-0.19901050856564953,-0.47379146564287844,0.19472713124458363,-0.6464563380838403,0.9170172634573388
