Size,OP,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1,1,0.016826709824926574,0.9849250043236376,1.170380852709382,-0.8833198849314734,0.4086537358990855,0.9846148586819246,0.9600740840472486
1,2,0.0034507241475324846,0.9158355077921445,0.8761175309651517,-0.14026524811555974,-0.5423437046059858,0.08285454083505894,0.9773320044948381
1,3,-0.004740716628609994,0.8683856205747982,0.5232856719518542,0.09577178269823011,-0.5698720349346988,-0.017810489719199962,0.9785412054774025
1,4,-0.009537017783312821,0.820674577494545,0.15378823663317298,0.6264359229819378,-1.798460776051053,-0.8868728271956405,0.9290316458449034
1,5,0.001946622548327455,1.3077598003092312,-0.9355642086528919,-0.6524747758368739,-1.1704772960276544,0.11641213961827193,0.8891860619447671
2,1,0.0034163924831882965,1.0081681193156018,1.0529311751661856,-0.30271673613550854,0.2774150808221055,0.5186349094384212,0.9757993143994148
2,2,0.0012257327732891022,1.119838532879878,0.5541750124540313,-0.6589452763713132,-0.02691510216640583,0.524906394455368,0.9834840406837507
2,3,-0.007144352987734386,0.7085117448791638,0.29664547159017074,0.21231294219668864,-1.0138570767267123,-0.365448909089377,0.922813148114013
2,4,-0.0058266599499595655,0.8003813568678255,-0.11317044024751113,-0.02959444593177156,-1.3534566700431934,-0.3049465837075255,0.9510235092905853
2,5,-0.005469305552550156,1.3081283117203255,-0.26339058170782415,0.3765281841374281,-0.7741752999044774,-0.06728351111085135,0.9048659542211818
3,1,-0.002860736999912065,1.2737403428152392,1.072786785603656,-0.2812952818155461,0.3302325160250013,0.22617289657633977,0.9844245102721444
3,2,-0.005140994652050524,1.1378740805320995,0.9459106443871073,-0.04343369778730327,-0.003973762483861189,-0.22315904427105732,0.9571547645117364
3,3,-0.008847992302556217,1.1499133674567412,0.632027241741097,-0.042791343172969426,-0.23615867455832212,-0.19405326054116082,0.9538184140059934
3,4,-0.008957984983857971,0.7598265809448299,0.251332025664624,0.7015635289932374,-1.2728009047108078,-1.1161663762085035,0.8913747629124557
3,5,8.904961604390806e-05,0.5857537811012186,-0.40859469112054625,-0.5336089072787109,0.12997779289289496,0.9057102251338525,0.6083549595052729
4,1,-9.201946426849305e-05,1.1445067123984056,1.0097701657235798,-0.46324583724397417,0.3173561271772754,0.12779897113645788,0.949871860559307
4,2,0.0034150339148555967,0.6862950692172606,0.5256456560009091,-0.0546235846726843,-0.18734900665263196,-0.06915936790296255,0.797016202139669
4,3,-0.004518909563217504,0.9087022425789414,0.726727494072194,0.3129677890752095,-0.3177713036468323,-0.49150677841818874,0.96102875780549
4,4,-0.0010195870383562563,0.8779203786843958,0.453968281914243,0.028340798802553177,-0.4044929943361303,-0.514932854726349,0.9505227486722081
4,5,-0.0019508345113552579,1.175184466217723,0.06853915498394426,0.3561180935150605,0.003057582967048389,-0.17945589993871958,0.8797909428147409
5,1,0.003160193758897018,0.8348167420718303,0.9480577836021769,0.2165393375128673,-0.31612757813090087,-0.6783768561531818,0.8843518046023915
5,2,2.1722814601475744e-05,0.8903922923522304,0.5622539764390884,-0.5062111955403331,0.3183333774727619,0.3228812273789309,0.9276829653499061
5,3,-0.00647121665089951,0.9048330709724876,0.38142982251655866,-0.010301942525926366,-0.27218076971223293,-0.3540193696248457,0.8078768612664111
5,4,-0.0035808962739895724,0.7581312974776183,0.1268239813858727,0.35463284504188836,-0.9135799318005656,-0.8380466110310552,0.8880912975819928
5,5,0.004408401799791576,1.0423246522189187,-0.34424838643019473,-0.17515663652603192,0.5772826519129618,0.22946672050516087,0.9608610780660152
