Size,OP,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1,1,0.0010498750184165376,1.3156656206951244e-05,5.940416514444872e-05,0.0329642600278451,0.2384412622170492,0.02476636597621974
1,2,0.22520680642325364,4.0376512999117983e-07,2.1576483812588487e-05,0.5845274939430536,0.030477430466367028,0.756960336013041
1,3,0.0345039864637938,2.240891006789921e-08,0.00017053425271397956,0.6140112672547984,0.004368992196105533,0.9283288200612769
1,4,0.05513893247892748,0.0002426754902398353,0.5096309523191471,0.15773312464890565,0.0003353598729065825,0.0638663325354767
1,5,0.7594073628706759,6.212531874634272e-05,0.010230509342718594,0.2765567740370354,0.04002646143249394,0.8496491893943763
2,1,0.185743025153186,3.964857995173754e-08,1.0109575680629527e-06,0.2028137031329046,0.19201215142654549,0.047110948969067236
2,2,0.5617279282736276,1.3717559801621505e-09,0.00012668741262035957,0.004159857225572112,0.8764116273997583,0.020531633627807973
2,3,0.08052363868616264,0.00017579230319677387,0.14028131578406206,0.5522848548965915,0.006181253218359919,0.33452232003796445
2,4,0.1095032466034642,1.9730056735084003e-05,0.5170412147113338,0.9261269731575864,0.0003225157582469454,0.36952919295897657
2,5,0.278237609136279,4.724379087219627e-06,0.2964735934736701,0.41393991847751754,0.07400084873403644,0.8877677558645898
3,1,0.18324567828425045,2.4067889931801264e-10,9.940030316835187e-08,0.1581500845762645,0.07073010752651042,0.2712502240075867
3,2,0.12379999084233152,1.704053562124671e-07,4.144088147071128e-05,0.8825917516744599,0.9879246282471992,0.4733419273848217
3,3,0.013904115784214962,1.4561148278434988e-07,0.0013763263468321912,0.8839702089905261,0.3745028238113445,0.5307155295835526
3,4,0.05365623048907846,0.00025882658165437086,0.25603310145016595,0.09507685666916205,0.0029004647451309953,0.017080665513062893
3,5,0.9871321118936522,0.010574990335634749,0.15604753028276558,0.30525133241256835,0.775579444038967,0.10750365692023697
4,1,0.9800466422891143,8.301679459225984e-07,8.857624266115239e-05,0.18772429611662483,0.3055768397749383,0.7201952698088161
4,2,0.5115814191981811,0.002468702836369423,0.05857552317338989,0.9086923703191618,0.6607664583100367,0.8898012484339204
4,3,0.07840358595605049,9.150730637696648e-08,3.5914124704707195e-05,0.17538428043412327,0.12720522953884736,0.05113443789642724
4,4,0.7047424554264973,4.6859535586151974e-07,0.00436965184768563,0.9089183705096335,0.08504103859778402,0.0641799736474887
4,5,0.6413970150652794,2.483689168376331e-06,0.7434298097304358,0.362880886690395,0.9929048277805829,0.6576796455409772
5,1,0.5199273002688953,0.00033502670593571964,0.0016299831203178945,0.6316478920404256,0.436694299837049,0.165943557167893
5,2,0.9944511206105061,2.1884187202853754e-06,0.0028680157140062662,0.09679915760048104,0.22976081732536727,0.2957519537217362
5,3,0.23884611890159882,0.0003715351028050816,0.1700943750581519,0.9833362125949128,0.5397105874479852,0.497324602218152
5,4,0.3616612128993216,9.846311242392069e-05,0.5155993749489087,0.3289064269932832,0.011807100789690307,0.03955797555017339
5,5,0.05935680169804441,5.1432826708211634e-09,0.0067029404428116885,0.3900050206175446,0.005954663916517429,0.2863639966523495
