Size,OP,Const_t,Mktrf_t,SMB_t,HML_t,RMW_t,CMA_t
1,1,4.1947022600622415,6.7728724342466835,5.823424557733676,-2.385548509472317,1.2356816360253613,2.5376054559448424
1,2,1.273307712521385,9.321985055449074,6.452600954289674,-0.5607141569873659,-2.4274311140991913,0.3160786930707959
1,3,-2.3611063103276066,11.930316546463004,5.2018724564039545,0.5167463612993973,-3.4426912456292182,-0.09170714762519204
1,4,-2.1066879229021196,5.000649223819461,0.678047378418295,1.49910681308943,-4.8187874192804,-2.0253717183143958
1,5,0.3127820264452287,5.7963662740736845,-3.0004261997463906,-1.135774402776997,-2.28124651165831,0.19338112850535566
2,1,1.3972087715320387,11.37350450167345,8.594939836493174,-1.3412146496053845,1.3761722510647876,2.1928608352239114
2,2,0.5955087811332106,15.00774966425605,5.373888138223995,-3.468247093812097,-0.1586125650448051,2.6365135904262376
2,3,-1.8951732133605812,5.184428118632946,1.5706269285942236,0.6101418078666213,-3.2622100892926977,-1.0022324372773785
2,4,-1.7180137592747224,6.509861173285312,-0.6660230825475079,-0.0945334458465852,-4.840614593205796,-0.9295794547432896
2,5,-1.1316196610148441,7.46597344740165,-1.0877218431407618,0.8439837755226836,-1.942928384602147,-0.14392383530128816
3,1,-1.4057523840629518,17.265517426762454,10.521886719024033,-1.497482148529828,1.9683390719039733,1.1490190660029382
3,2,-1.6455788747606632,10.046934115968057,6.043255761590991,-0.15061445927420994,-0.01542846220431184,-0.7384852467719186
3,3,-2.8406429179275596,10.183681988875074,4.050018590022587,-0.14883193813813003,-0.9196551244532805,-0.6440930780023049
3,4,-2.1216797575816675,4.964228726155899,1.1881373408559097,1.800133927536419,-3.6566143766432453,-2.7330917910689307
3,5,0.016441139812965855,2.98320274624085,-1.5057119653739413,-1.0673116555222462,0.2910839191823252,1.7288006672044909
4,1,-0.02549589327564406,8.747353432204982,5.584218176012593,-1.3904979978613814,1.0665632220441723,0.3660780327395547
4,2,0.6748726128412051,3.741152917403823,2.0733335423406056,-0.11694328547351387,-0.44908377256326754,-0.14129720721473474
4,3,-1.9102958731269426,10.596352217330018,6.13179870534306,1.4332928680509929,-1.629411764106393,-2.148089036703153
4,4,-0.38738039678157254,9.201026090895379,3.4426126087874676,0.116652414192963,-1.8641185250022076,-2.0226452348195676
4,5,-0.4768325771579512,7.923541359846432,0.33437480440747563,0.942991632133301,0.009065106766887232,-0.4534809098705541
5,1,0.6613670556591532,4.819342537451032,3.9601621237204467,0.4909462656604135,-0.8024914523643162,-1.467762031598565
5,2,0.007089453842982758,8.015781562470346,3.662507562089289,-1.7897680047837436,1.2601668331983085,1.0894197857683396
5,3,-1.2345569710608726,4.761693745428386,1.4524097405968335,-0.02129181231653275,-0.6298422914067993,-0.6982452662161798
5,4,-0.9454707871584223,5.521646475478318,0.6683547934418683,1.0143869189407089,-2.9258503471894697,-2.2876012600297586
5,5,2.0660047760508062,13.474757490105267,-3.2201149427852718,-0.8892933762235509,3.281616608456997,1.1117973597916173
